State_anxiety_ncomp State_anxiety_strn
3 5.5756150939178
1 1.39032534311825
2 4.82147148929456
1 2.15967733924936
0 0
0 0
2 4.82608089865502
0 0
0 0
0 0
0 0
1 2.47516685714521
0 0
0 0
2 6.97043067835018
0 0
0 0
0 0
1 4.12884450890458
1 2.17587546465572
0 0
0 0
1 1.20858538359446
0 0
0 0
0 0
0 0
1 0.303100584592311
1 4.00216039527766
0 0
1 0.210874812324383
2 2.47200522535996
0 0
0 0
1 2.0115421690836
0 0
1 0.943833119878527
0 0
0 0
0 0
0 0
0 0
2 1.7640910766485
1 2.89015836790293
0 0
0 0
0 0
1 0.391774457118715
1 1.15549192199388
2 2.04992256369754
0 0
3 3.0868690147169
0 0
0 0
0 0
0 0
1 1.43661497829731
3 4.86998522349902
0 0
0 0
0 0
2 1.31352657528657
2 1.05375373842456
3 5.95865882860271
0 0
0 0
1 1.02844057904237
1 1.75701950314052
0 0
0 0
0 0
1 1.6605035335237
0 0
0 0
0 0
0 0
1 0.240127182079745
0 0
0 0
0 0
0 0
0 0
0 0
1 0.45753684427546
0 0
0 0
0 0
0 0
2 1.50203428727335
0 0
2 1.1070803855268
1 1.85257603302604
1 1.02838623053844
0 0
0 0
0 0
0 0
0 0
0 0
0 0
2 6.08903611016118
0 0
0 0
1 0.486900734554298
1 1.23944108401881
0 0
0 0
1 0.992069145616223
1 3.97315276385469
2 2.02808391120524
0 0
1 0.261414084973561
1 2.97909708762491
1 0.822223398067769
1 4.11406801332843
0 0
0 0
0 0
0 0
0 0
2 0.77803219899747
0 0
0 0
1 0.895390625883017
0 0
0 0
1 1.91604710309967
0 0
0 0
0 0
0 0
0 0
1 0.997155674212601
0 0
0 0
0 0
1 4.47184121899216
1 3.16327533750484
2 4.78481473452865
1 4.34168514351967
0 0
0 0
2 0.189852424221007
2 0.696917559241848
1 0.171068180010031
0 0
0 0
0 0
0 0
1 1.69734947919865
0 0
0 0
1 0.14588613002904
0 0
0 0
0 0
1 2.24620483869689
1 0.696268223430041
0 0
1 1.21813638545077
1 1.49007645533556
0 0
3 2.1904287023259
2 2.77126346229954
0 0
0 0
1 0.482200324966449
0 0
0 0
1 1.07437152671129
2 2.05077933071977
1 2.38695965547232
1 0.134507667719421
0 0
0 0
1 1.2134227471106
